item;realizacao;correcao;valor;classe;sexo;participante;periodo
mostrou;sim;nao;morfemico;verbo;masculino;42M21;final
deitados;sim;nao;morfemico;nao verbo;masculino;42M21;final
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;42M21;final
beijo;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
ouviu;sim;nao;morfemico;verbo;masculino;44M19;inicio
poupava;sim;nao;morfemico;verbo;masculino;44M19;inicio
entrou;sim;nao;morfemico;verbo;masculino;44M19;inicio
pouco;sim;nao;nao morfemico;nao verbo;masculino;44M19;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;44M19;inicio
beijava;sim;nao;morfemico;verbo;masculino;44M19;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;44M19;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;44M19;inicio
comecou;nao;nao;morfemico;verbo;masculino;44M19;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;44M19;inicio
acompanhou;nao;nao;morfemico;verbo;masculino;44M19;inicio
mostrou;nao;nao;morfemico;verbo;masculino;44M19;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;44M19;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;44M19;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;44M19;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;44M19;inicio
ouviu;sim;nao;morfemico;verbo;feminino;47F19;inicio
poupava;sim;sim;morfemico;verbo;feminino;47F19;inicio
entrou;nao;nao;morfemico;verbo;feminino;47F19;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;47F19;inicio
passageira;nao;nao;nao morfemico;nao verbo;feminino;47F19;inicio
beijava;nao;nao;morfemico;verbo;feminino;47F19;inicio
apaixonadamente;sim;nao;nao morfemico;nao verbo;feminino;47F19;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;47F19;inicio
comecou;nao;nao;morfemico;verbo;feminino;47F19;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;47F19;inicio
acompanhou;nao;nao;morfemico;verbo;feminino;47F19;inicio
mostrou;nao;nao;morfemico;verbo;feminino;47F19;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;47F19;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;47F19;inicio
beijo;sim;nao;nao morfemico;nao verbo;feminino;47F19;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;47F19;inicio
ouviu;sim;nao;morfemico;verbo;masculino;49M20;inicio
poupava;sim;nao;morfemico;verbo;masculino;49M20;inicio
entrou;nao;nao;morfemico;verbo;masculino;49M20;inicio
pouco;sim;nao;nao morfemico;nao verbo;masculino;49M20;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;49M20;inicio
beijava;nao;nao;morfemico;verbo;masculino;49M20;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;49M20;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;49M20;inicio
comecou;sim;nao;morfemico;verbo;masculino;49M20;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;49M20;inicio
acompanhou;sim;nao;morfemico;verbo;masculino;49M20;inicio
mostrou;sim;nao;morfemico;verbo;masculino;49M20;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;49M20;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;49M20;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;49M20;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;49M20;inicio
ouviu;nao;nao;morfemico;verbo;feminino;50F22;final
poupava;nao;nao;morfemico;verbo;feminino;50F22;final
entrou;nao;nao;morfemico;verbo;feminino;50F22;final
pouco;nao;nao;nao morfemico;nao verbo;feminino;50F22;final
passageira;nao;nao;nao morfemico;nao verbo;feminino;50F22;final
beijava;nao;nao;morfemico;verbo;feminino;50F22;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;50F22;final
deitado;sim;nao;nao morfemico;nao verbo;feminino;50F22;final
comecou;nao;nao;morfemico;verbo;feminino;50F22;final
primeira;nao;nao;nao morfemico;nao verbo;feminino;50F22;final
acompanhou;nao;nao;morfemico;verbo;feminino;50F22;final
mostrou;nao;nao;morfemico;verbo;feminino;50F22;final
deitados;sim;nao;morfemico;nao verbo;feminino;50F22;final
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;50F22;final
beijo;sim;nao;nao morfemico;nao verbo;feminino;50F22;final
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;50F22;final
ouviu;sim;nao;morfemico;verbo;feminino;53F22;final
poupava;sim;nao;morfemico;verbo;feminino;53F22;final
entrou;sim;nao;morfemico;verbo;feminino;53F22;final
pouco;nao;nao;nao morfemico;nao verbo;feminino;53F22;final
passageira;nao;nao;nao morfemico;nao verbo;feminino;53F22;final
beijava;sim;sim;morfemico;verbo;feminino;53F22;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;53F22;final
deitado;sim;nao;nao morfemico;nao verbo;feminino;53F22;final
comecou;sim;nao;morfemico;verbo;feminino;53F22;final
